match_id,old_odd,last_update
Napoli_Fiorentina_h2h_Draw_0,3.31,2026-01-31 16:58:58.434631
Napoli_Fiorentina_totals_Over_2.5,2.19,2026-01-31 16:58:58.437635
Napoli_Fiorentina_totals_Under_2.5,1.74,2026-01-31 16:58:58.440663
SV Zulte-Waregem_Westerlo_h2h_SV Zulte-Waregem_0,2.32,2026-01-31 16:58:58.984751
SV Zulte-Waregem_Westerlo_h2h_Westerlo_0,2.85,2026-01-31 16:58:58.987920
SV Zulte-Waregem_Westerlo_h2h_Draw_0,3.3,2026-01-31 16:58:58.990954
SV Zulte-Waregem_Westerlo_totals_Over_2.5,1.6,2026-01-31 16:58:58.993963
SV Zulte-Waregem_Westerlo_totals_Under_2.5,2.16,2026-01-31 16:58:59.563992
Levante_Atlético Madrid_h2h_Atlético Madrid_0,1.77,2026-01-31 16:58:59.569230
Levante_Atlético Madrid_h2h_Levante_0,5.03,2026-01-31 16:59:00.095170
Levante_Atlético Madrid_h2h_Draw_0,3.98,2026-01-31 16:59:00.098464
Levante_Atlético Madrid_totals_Over_2.5,1.83,2026-01-31 16:59:00.101561
Levante_Atlético Madrid_totals_Under_2.5,2.13,2026-01-31 16:59:00.636630
Hamburger SV_Bayern Munich_h2h_Bayern Munich_0,1.28,2026-01-31 16:59:00.641944
Hamburger SV_Bayern Munich_h2h_Hamburger SV_0,9.77,2026-01-31 16:59:01.192063
Hamburger SV_Bayern Munich_h2h_Draw_0,6.56,2026-01-31 16:59:01.195322
Hamburger SV_Bayern Munich_totals_Over_3.5,2.02,2026-01-31 16:59:01.198367
Hamburger SV_Bayern Munich_totals_Under_3.5,1.87,2026-01-31 16:59:01.201425
Volos FC_AEL_h2h_AEL_0,3.3,2026-01-31 17:51:35.027287
Volos FC_AEL_h2h_Volos FC_0,1.95,2026-01-31 17:51:35.031501
Volos FC_AEL_h2h_Draw_0,2.65,2026-01-31 17:51:35.034459
Rio Ave FC_Arouca_h2h_Arouca_0,2.43,2026-01-31 17:51:35.039293
Rio Ave FC_Arouca_h2h_Rio Ave FC_0,2.85,2026-01-31 17:51:35.042293
Rio Ave FC_Arouca_h2h_Draw_0,3.15,2026-01-31 17:51:35.045280
Rio Ave FC_Arouca_totals_Over_2.5,1.96,2026-01-31 17:51:35.048266
Rio Ave FC_Arouca_totals_Under_2.5,1.73,2026-01-31 17:51:35.051266
Lorient_Nantes_h2h_Lorient_0,1.84,2026-01-31 17:51:35.823146
Lorient_Nantes_h2h_Nantes_0,4.35,2026-01-31 17:51:36.509543
Lorient_Nantes_h2h_Draw_0,3.5,2026-01-31 17:51:36.512763
Universidad de Concepción_Coquimbo Unido_h2h_Coquimbo Unido_0,1.9,2026-01-31 17:51:36.517752
Universidad de Concepción_Coquimbo Unido_h2h_Universidad de Concepción_0,2.9,2026-01-31 17:51:36.520771
Universidad de Concepción_Coquimbo Unido_h2h_Draw_0,3.05,2026-01-31 17:51:36.523752
Sampdoria_Spezia_h2h_Sampdoria_0,2.15,2026-01-31 17:51:36.528649
Sampdoria_Spezia_h2h_Spezia_0,3.45,2026-01-31 17:51:36.531671
Sampdoria_Spezia_h2h_Draw_0,3.0,2026-01-31 17:51:36.534681
Sampdoria_Spezia_totals_Over_2.5,2.33,2026-01-31 17:51:36.537692
Sampdoria_Spezia_totals_Under_2.5,1.51,2026-01-31 17:51:36.540736
Saint Etienne_Boulogne_h2h_Boulogne_0,6.5,2026-01-31 19:00:15.780731
Saint Etienne_Boulogne_h2h_Saint Etienne_0,1.4,2026-01-31 19:00:15.785378
Saint Etienne_Boulogne_h2h_Draw_0,4.4,2026-01-31 19:00:16.489880
Lech Poznań_Lechia Gdańsk_h2h_Lechia Gdańsk_0,3.97,2026-01-31 19:00:16.495673
Lech Poznań_Lechia Gdańsk_h2h_Lech Poznań_0,1.85,2026-01-31 19:00:16.499111
Lech Poznań_Lechia Gdańsk_h2h_Draw_0,4.0,2026-01-31 19:00:16.502571
Lech Poznań_Lechia Gdańsk_totals_Over_3.0,1.83,2026-01-31 17:51:37.921374
